EN,TC
Downloaded .ics. Open it in your desktop calendar app and save to send invites.,已下載 .ics 檔案。請於桌面日曆應用程式開啟並儲存以發送邀請。
Unable to convert QR image to base64.,無法將 QR 圖片轉換為 base64。
{{topic}} — hosted by Hong Kong Beer,{{topic}} — 由 Hong Kong Beer 主辦
Hi {{bossName}},
Hope this email finds you well. I'd like to discuss {{topic}} virtually during the World Cup Final window.,
We can use this session to align on next steps for {{topic}}.,
"No venue needed, just join online and we'll keep it focused.",
HK Beer note: Promo eligibility requires a participating bar venue selection.,
See you online.,
"Hope this calendar invite finds you well! Let’s meet to discuss {{topic}} at {{venue}} at 3am. It just so happens to be the World Cup Final. What a coincidence, am I right?",
We can talk about how we're moving forward on {{topic}} with the TV on quietly in the background.,
"Oh by the way, Hong Kong Beer Co is providing each of us with a free local craft brew.",
We can pick it up with this QR code.,
Just some beer for thought.,
See you there.,
Promo QR,
byob-invite.ics,
